,0
MA0148.3,0.07219625760568031
MA0033.2,0.05422322718312254
MA0153.2,0.05238078584947804
MA0481.2,0.0410364918064421
MA0645.1,0.040963206379714685
MA0042.2,0.04002859158613107
MA0850.1,0.03289706554731812
MA0046.2,0.03181664166527972
MA0679.1,0.03015545785700541
MA0847.1,0.028908178969282126
MA0849.1,0.027694768037138866
MA0848.1,0.026647209200301315
MA0593.1,0.024406612733055673
MA0076.2,0.024028888001076155
MA0762.1,0.021098883032565987
MA0032.2,0.019375213161820695
MA0852.2,0.018588154240507866
MA1103.1,0.017728971786341474
MA0050.2,0.01661924991082816
MA0139.1,0.015144295639840107
